"","toa","thr"
"4400","Late Majority","Low Thresh."
"4401","Non-Adopters","Non-Adopters"
"4402","Late Majority","High Thresh."
"4403","Laggards","High Thresh."
"4404","Non-Adopters","Non-Adopters"
"4405","Non-Adopters","Non-Adopters"
"4406","Non-Adopters","Non-Adopters"
"4407","Early Majority","High Thresh."
"4408","Non-Adopters","Non-Adopters"
"4409","Early Majority","High Thresh."
"4410","Early Majority","High Thresh."
"4411","Early Adopters","High Thresh."
"4412","Non-Adopters","Non-Adopters"
"4413","Non-Adopters","Non-Adopters"
"4414","Late Majority","High Thresh."
"4415","Non-Adopters","Non-Adopters"
"4416","Late Majority","Very Low Thresh."
"4417","Laggards","High Thresh."
"4418","Late Majority","High Thresh."
"4419","Early Adopters","High Thresh."
"4420","Early Adopters","Very Low Thresh."
"4421","Early Majority","Very Low Thresh."
"4422","Non-Adopters","Non-Adopters"
"4423","Early Majority","High Thresh."
"4424","Non-Adopters","Non-Adopters"
"4425","Late Majority","Very Low Thresh."
"4426","Non-Adopters","Non-Adopters"
"4427","Non-Adopters","Non-Adopters"
"4428","Early Majority","Low Thresh."
"4429","Laggards","High Thresh."
"4430","Early Majority","High Thresh."
"4431","Early Majority","High Thresh."
"4432","Late Majority","High Thresh."
"4433","Early Adopters","Very Low Thresh."
"4434","Laggards","High Thresh."
"4435","Non-Adopters","Non-Adopters"
"4436","Early Adopters","Low Thresh."
"4437","Laggards","High Thresh."
"4438","Early Adopters","High Thresh."
"4439","Early Majority","High Thresh."
"4440","Non-Adopters","Non-Adopters"
"4441","Non-Adopters","Non-Adopters"
"4442","Late Majority","High Thresh."
"4443","Laggards","Very Low Thresh."
"4444","Non-Adopters","Non-Adopters"
"4445","Non-Adopters","Non-Adopters"
"4446","Late Majority","High Thresh."
"4447","Early Adopters","Low Thresh."
"4448","Early Majority","High Thresh."
"4449","Early Adopters","Low Thresh."
"4450","Non-Adopters","Non-Adopters"
"4451","Non-Adopters","Non-Adopters"
"4452","Non-Adopters","Non-Adopters"
"4453","Late Majority","Low Thresh."
"4454","Non-Adopters","Non-Adopters"
"4455","Non-Adopters","Non-Adopters"
"4456","Early Adopters","Low Thresh."
"4457","Early Adopters","Very Low Thresh."
"4458","Laggards","High Thresh."
"4459","Late Majority","High Thresh."
"4460","Early Majority","Very Low Thresh."
"4461","Early Majority","Very Low Thresh."
"4462","Early Majority","High Thresh."
"4463","Non-Adopters","Non-Adopters"
"4464","Early Adopters","High Thresh."
"4465","Non-Adopters","Non-Adopters"
"4466","Early Adopters","High Thresh."
"4467","Early Adopters","High Thresh."
"4468","Early Majority","High Thresh."
"4469","Late Majority","Low Thresh."
"4470","Laggards","High Thresh."
"4471","Non-Adopters","Non-Adopters"
"4472","Early Majority","High Thresh."
"4473","Early Adopters","High Thresh."
"4474","Early Majority","Very Low Thresh."
"4475","Early Adopters","High Thresh."
"4476","Non-Adopters","Non-Adopters"
"4477","Laggards","Low Thresh."
"4478","Late Majority","High Thresh."
"4479","Late Majority","High Thresh."
"4480","Non-Adopters","Non-Adopters"
"4481","Early Majority","High Thresh."
"4482","Early Majority","Very Low Thresh."
"4483","Non-Adopters","Non-Adopters"
"4484","Laggards","High Thresh."
"4485","Non-Adopters","Non-Adopters"
"4486","Early Majority","Low Thresh."
"4487","Early Majority","Very Low Thresh."
"4488","Late Majority","High Thresh."
"4489","Early Adopters","High Thresh."
"4490","Non-Adopters","Non-Adopters"
"4491","Early Majority","Low Thresh."
"4492","Early Majority","High Thresh."
"4493","Laggards","High Thresh."
"4494","Early Majority","Very Low Thresh."
"4495","Early Adopters","Very Low Thresh."
"4496","Early Majority","High Thresh."
"4497","Non-Adopters","Non-Adopters"
"4498","Non-Adopters","Non-Adopters"
"4499","Late Majority","Very Low Thresh."
"4500","Early Majority","Very Low Thresh."
"4501","Late Majority","High Thresh."
"4502","Late Majority","Very Low Thresh."
"4503","Non-Adopters","Non-Adopters"
"4504","Laggards","High Thresh."
"4505","Early Majority","High Thresh."
"4506","Non-Adopters","Non-Adopters"
"4507","Early Adopters","High Thresh."
"4508","Early Majority","High Thresh."
"4509","Non-Adopters","Non-Adopters"
"4510","Early Majority","High Thresh."
"4511","Non-Adopters","Non-Adopters"
"4512","Late Majority","High Thresh."
"4513","Late Majority","Very Low Thresh."
"4514","Early Majority","High Thresh."
"4515","Early Majority","Very Low Thresh."
"4516","Laggards","High Thresh."
"4517","Non-Adopters","Non-Adopters"
"4518","Late Majority","Very Low Thresh."
"4519","Early Majority","High Thresh."
"4520","Early Majority","Very Low Thresh."
"4521","Late Majority","High Thresh."
"4522","Early Adopters","Very Low Thresh."
"4523","Non-Adopters","Non-Adopters"
"4524","Early Adopters","High Thresh."
"4525","Early Adopters","Very Low Thresh."
"4526","Early Majority","Low Thresh."
"4527","Non-Adopters","Non-Adopters"
"4528","Laggards","High Thresh."
"4529","Late Majority","Low Thresh."
"4530","Early Adopters","Low Thresh."
"4531","Early Majority","Very Low Thresh."
"4532","Early Adopters","Very Low Thresh."
"4533","Early Majority","High Thresh."
"4534","Early Majority","Low Thresh."
"4535","Non-Adopters","Non-Adopters"
"4536","Late Majority","High Thresh."
"4537","Laggards","High Thresh."
"4538","Early Majority","Very Low Thresh."
"4539","Non-Adopters","Non-Adopters"
"4540","Early Majority","Low Thresh."
"4541","Early Adopters","Very Low Thresh."
"4542","Early Majority","Low Thresh."
"4543","Non-Adopters","Non-Adopters"
"4544","Early Majority","Very Low Thresh."
"4545","Early Majority","Low Thresh."
"4546","Early Majority","High Thresh."
"4547","Late Majority","Very Low Thresh."
"4548","Non-Adopters","Non-Adopters"
"4549","Early Adopters","Very Low Thresh."
"4550","Laggards","High Thresh."
"4551","Late Majority","High Thresh."
"4552","Late Majority","High Thresh."
"4553","Late Majority","High Thresh."
"4554","Late Majority","High Thresh."
"4555","Early Majority","Very Low Thresh."
"4556","Non-Adopters","Non-Adopters"
"4557","Non-Adopters","Non-Adopters"
"4558","Late Majority","High Thresh."
"4559","Early Adopters","High Thresh."
"4560","Laggards","Very Low Thresh."
"4561","Late Majority","High Thresh."
"4562","Early Majority","Low Thresh."
"4563","Early Adopters","Very Low Thresh."
"4564","Early Majority","High Thresh."
"4565","Non-Adopters","Non-Adopters"
"4566","Early Majority","High Thresh."
"4567","Early Adopters","Very Low Thresh."
"4568","Laggards","High Thresh."
"4569","Laggards","High Thresh."
"4570","Non-Adopters","Non-Adopters"
"4571","Late Majority","High Thresh."
"4572","Late Majority","High Thresh."
"4573","Early Majority","High Thresh."
"4574","Non-Adopters","Non-Adopters"
"4575","Non-Adopters","Non-Adopters"
"4576","Laggards","Low Thresh."
"4577","Late Majority","High Thresh."
"4578","Laggards","High Thresh."
"4579","Non-Adopters","Non-Adopters"
"4580","Non-Adopters","Non-Adopters"
"4581","Early Adopters","Low Thresh."
"4582","Non-Adopters","Non-Adopters"
"4583","Early Adopters","High Thresh."
"4584","Late Majority","High Thresh."
"4585","Late Majority","High Thresh."
"4586","Early Adopters","Very Low Thresh."
"4587","Laggards","High Thresh."
"4588","Late Majority","High Thresh."
"4589","Non-Adopters","Non-Adopters"
"4590","Non-Adopters","Non-Adopters"
"4591","Early Adopters","Very Low Thresh."
"4592","Early Adopters","Low Thresh."
"4593","Early Majority","Very Low Thresh."
"4594","Late Majority","High Thresh."
"4595","Laggards","High Thresh."
"4596","Late Majority","Very Low Thresh."
"4597","Non-Adopters","Non-Adopters"
"4598","Laggards","High Thresh."
"4599","Late Majority","Very Low Thresh."
"4600","Laggards","High Thresh."
"4601","Early Adopters","High Thresh."
"4602","Late Majority","Low Thresh."
"4603","Early Adopters","Low Thresh."
"4604","Non-Adopters","Non-Adopters"
"4605","Late Majority","High Thresh."
"4606","Non-Adopters","Non-Adopters"
"4607","Laggards","High Thresh."
"4608","Early Adopters","High Thresh."
"4609","Non-Adopters","Non-Adopters"
"4610","Non-Adopters","Non-Adopters"
"4611","Late Majority","Very Low Thresh."
"4612","Early Adopters","Low Thresh."
"4613","Late Majority","High Thresh."
"4614","Late Majority","High Thresh."
"4615","Early Adopters","Low Thresh."
"4616","Non-Adopters","Non-Adopters"
"4617","Laggards","Low Thresh."
"4618","Early Majority","Low Thresh."
"4619","Early Majority","High Thresh."
"4620","Laggards","High Thresh."
"4621","Early Majority","High Thresh."
"4622","Early Adopters","High Thresh."
"4623","Early Adopters","High Thresh."
"4624","Laggards","Low Thresh."
"4625","Non-Adopters","Non-Adopters"
"4626","Early Majority","High Thresh."
"4627","Non-Adopters","Non-Adopters"
"4628","Non-Adopters","Non-Adopters"
"4629","Non-Adopters","Non-Adopters"
"4630","Early Adopters","Low Thresh."
"4631","Early Majority","High Thresh."
"4632","Non-Adopters","Non-Adopters"
"4633","Late Majority","Low Thresh."
"4634","Late Majority","Low Thresh."
"4635","Late Majority","Low Thresh."
"4636","Late Majority","High Thresh."
"4637","Early Majority","High Thresh."
"4638","Late Majority","High Thresh."
"4639","Non-Adopters","Non-Adopters"
"4640","Non-Adopters","Non-Adopters"
"4641","Early Majority","Low Thresh."
"4642","Non-Adopters","Non-Adopters"
"4643","Non-Adopters","Non-Adopters"
"4644","Non-Adopters","Non-Adopters"
"4645","Laggards","High Thresh."
"4646","Early Adopters","Very Low Thresh."
"4647","Non-Adopters","Non-Adopters"
"4648","Early Majority","Very Low Thresh."
"4649","Non-Adopters","Non-Adopters"
"4650","Late Majority","High Thresh."
"4651","Laggards","Very Low Thresh."
"4652","Late Majority","High Thresh."
"4653","Non-Adopters","Non-Adopters"
"4654","Early Adopters","Low Thresh."
"4655","Late Majority","Very Low Thresh."
"4656","Non-Adopters","Non-Adopters"
"4657","Late Majority","High Thresh."
"4658","Early Adopters","High Thresh."
"4659","Early Adopters","High Thresh."
"4660","Late Majority","High Thresh."
"4661","Late Majority","High Thresh."
"4662","Non-Adopters","Non-Adopters"
"4663","Non-Adopters","Non-Adopters"
"4664","Late Majority","High Thresh."
"4665","Laggards","Low Thresh."
"4666","Early Adopters","Low Thresh."
"4667","Non-Adopters","Non-Adopters"
"4668","Early Adopters","Very Low Thresh."
"4669","Early Adopters","High Thresh."
"4670","Early Majority","High Thresh."
"4671","Early Adopters","High Thresh."
"4672","Late Majority","Low Thresh."
"4673","Laggards","High Thresh."
"4674","Non-Adopters","Non-Adopters"
"4675","Non-Adopters","Non-Adopters"
"4676","Non-Adopters","Non-Adopters"
"4677","Non-Adopters","Non-Adopters"
"4678","Late Majority","High Thresh."
"4679","Non-Adopters","Non-Adopters"
"4680","Non-Adopters","Non-Adopters"
"4681","Laggards","High Thresh."
"4682","Early Adopters","High Thresh."
"4683","Laggards","High Thresh."
"4684","Early Majority","Very Low Thresh."
"4685","Late Majority","Low Thresh."
"4686","Early Majority","Low Thresh."
"4687","Late Majority","High Thresh."
"4688","Non-Adopters","Non-Adopters"
"4689","Early Adopters","Low Thresh."
"4690","Early Majority","High Thresh."
"4691","Early Majority","Low Thresh."
"4692","Late Majority","Very Low Thresh."
"4693","Early Majority","Low Thresh."
"4694","Laggards","Very Low Thresh."
"4695","Early Majority","High Thresh."
"4696","Non-Adopters","Non-Adopters"
"4697","Laggards","High Thresh."
"4698","Early Adopters","High Thresh."
"4699","Non-Adopters","Non-Adopters"
"4700","Non-Adopters","Non-Adopters"
"4701","Non-Adopters","Non-Adopters"
"4702","Non-Adopters","Non-Adopters"
"4703","Early Majority","High Thresh."
"4704","Early Majority","High Thresh."
"4705","Late Majority","High Thresh."
"4706","Late Majority","High Thresh."
"4707","Laggards","High Thresh."
"4708","Non-Adopters","Non-Adopters"
"4709","Early Majority","High Thresh."
"4710","Non-Adopters","Non-Adopters"
"4711","Early Adopters","Low Thresh."
"4712","Early Majority","Low Thresh."
"4713","Late Majority","High Thresh."
"4714","Early Adopters","Low Thresh."
"4715","Late Majority","High Thresh."
"4716","Early Adopters","Low Thresh."
"4717","Late Majority","High Thresh."
"4718","Late Majority","High Thresh."
"4719","Early Majority","Very Low Thresh."
"4720","Early Adopters","Low Thresh."
"4721","Early Adopters","Very Low Thresh."
"4722","Non-Adopters","Non-Adopters"
"4723","Laggards","Very Low Thresh."
"4724","Early Majority","Very Low Thresh."
"4725","Non-Adopters","Non-Adopters"
"4726","Early Majority","Low Thresh."
"4727","Late Majority","Very Low Thresh."
"4728","Early Adopters","High Thresh."
"4729","Early Majority","Low Thresh."
"4730","Early Adopters","Low Thresh."
"4731","Late Majority","High Thresh."
"4732","Late Majority","High Thresh."
"4733","Non-Adopters","Non-Adopters"
"4734","Early Majority","High Thresh."
"4735","Early Majority","Low Thresh."
"4736","Early Adopters","High Thresh."
"4737","Laggards","High Thresh."
"4738","Laggards","High Thresh."
"4739","Early Majority","High Thresh."
"4740","Non-Adopters","Non-Adopters"
"4741","Early Majority","Very Low Thresh."
"4742","Laggards","High Thresh."
"4743","Late Majority","Very Low Thresh."
"4744","Late Majority","Very Low Thresh."
"4745","Non-Adopters","Non-Adopters"
"4746","Laggards","Low Thresh."
"4747","Early Adopters","Very Low Thresh."
"4748","Early Majority","Low Thresh."
"4749","Laggards","Very Low Thresh."
"4750","Late Majority","Very Low Thresh."
"4751","Early Majority","Low Thresh."
"4752","Laggards","High Thresh."
"4753","Early Adopters","High Thresh."
"4754","Non-Adopters","Non-Adopters"
"4755","Late Majority","Very Low Thresh."
"4756","Early Majority","High Thresh."
"4757","Early Majority","High Thresh."
"4758","Early Majority","High Thresh."
"4759","Non-Adopters","Non-Adopters"
"4760","Early Adopters","Very Low Thresh."
"4761","Late Majority","High Thresh."
"4762","Early Majority","Very Low Thresh."
"4763","Early Adopters","High Thresh."
"4764","Late Majority","Very Low Thresh."
"4765","Laggards","Very Low Thresh."
"4766","Late Majority","High Thresh."
"4767","Late Majority","Very Low Thresh."
"4768","Laggards","Very Low Thresh."
"4769","Non-Adopters","Non-Adopters"
"4770","Non-Adopters","Non-Adopters"
"4771","Late Majority","Very Low Thresh."
"4772","Early Majority","High Thresh."
"4773","Early Majority","High Thresh."
"4774","Non-Adopters","Non-Adopters"
"4775","Early Majority","High Thresh."
"4776","Late Majority","Very Low Thresh."
"4777","Late Majority","High Thresh."
"4778","Non-Adopters","Non-Adopters"
"4779","Early Adopters","High Thresh."
"4780","Laggards","High Thresh."
"4781","Non-Adopters","Non-Adopters"
"4782","Non-Adopters","Non-Adopters"
"4783","Laggards","Very Low Thresh."
"4784","Early Majority","High Thresh."
"4785","Non-Adopters","Non-Adopters"
"4786","Non-Adopters","Non-Adopters"
"4787","Late Majority","High Thresh."
"4788","Early Majority","High Thresh."
"4789","Non-Adopters","Non-Adopters"
"4790","Early Majority","High Thresh."
"4791","Late Majority","High Thresh."
"4792","Non-Adopters","Non-Adopters"
"4793","Non-Adopters","Non-Adopters"
"4794","Non-Adopters","Non-Adopters"
"4795","Late Majority","High Thresh."
"4796","Early Majority","High Thresh."
"4797","Early Majority","High Thresh."
"4798","Early Adopters","High Thresh."
"4799","Laggards","Low Thresh."
"4800","Early Majority","Low Thresh."
"4801","Early Majority","Low Thresh."
"4802","Early Adopters","High Thresh."
"4803","Early Adopters","High Thresh."
"4804","Early Majority","High Thresh."
"4805","Non-Adopters","Non-Adopters"
"4806","Early Adopters","Very Low Thresh."
"4807","Non-Adopters","Non-Adopters"
"4808","Early Adopters","Very Low Thresh."
"4809","Non-Adopters","Non-Adopters"
"4810","Late Majority","High Thresh."
"4811","Non-Adopters","Non-Adopters"
"4812","Early Adopters","Very Low Thresh."
"4813","Early Adopters","Low Thresh."
"4814","Early Majority","Low Thresh."
"4815","Non-Adopters","Non-Adopters"
"4816","Early Adopters","Very Low Thresh."
"4817","Non-Adopters","Non-Adopters"
"4818","Non-Adopters","Non-Adopters"
"4819","Laggards","High Thresh."
"4820","Late Majority","High Thresh."
"4821","Laggards","Very Low Thresh."
"4822","Non-Adopters","Non-Adopters"
"4823","Non-Adopters","Non-Adopters"
"4824","Early Adopters","Very Low Thresh."
"4825","Non-Adopters","Non-Adopters"
"4826","Early Majority","Low Thresh."
"4827","Early Majority","High Thresh."
"4828","Non-Adopters","Non-Adopters"
"4829","Non-Adopters","Non-Adopters"
"4830","Non-Adopters","Non-Adopters"
"4831","Late Majority","High Thresh."
"4832","Non-Adopters","Non-Adopters"
"4833","Laggards","Very Low Thresh."
"4834","Early Majority","Very Low Thresh."
"4835","Non-Adopters","Non-Adopters"
"4836","Non-Adopters","Non-Adopters"
"4837","Non-Adopters","Non-Adopters"
"4838","Late Majority","High Thresh."
"4839","Non-Adopters","Non-Adopters"
"4840","Laggards","High Thresh."
"4841","Early Majority","Very Low Thresh."
"4842","Early Adopters","High Thresh."
"4843","Non-Adopters","Non-Adopters"
"4844","Non-Adopters","Non-Adopters"
"4845","Non-Adopters","Non-Adopters"
"4846","Laggards","High Thresh."
"4847","Late Majority","High Thresh."
"4848","Late Majority","High Thresh."
"4849","Non-Adopters","Non-Adopters"
"4850","Non-Adopters","Non-Adopters"
"4851","Late Majority","High Thresh."
"4852","Non-Adopters","Non-Adopters"
"4853","Early Adopters","High Thresh."
"4854","Late Majority","High Thresh."
"4855","Early Adopters","Very Low Thresh."
"4856","Early Majority","Low Thresh."
"4857","Non-Adopters","Non-Adopters"
"4858","Early Majority","High Thresh."
"4859","Non-Adopters","Non-Adopters"
"4860","Early Majority","High Thresh."
"4861","Early Majority","High Thresh."
"4862","Early Adopters","High Thresh."
"4863","Laggards","High Thresh."
"4864","Non-Adopters","Non-Adopters"
"4865","Late Majority","High Thresh."
"4866","Early Adopters","High Thresh."
"4867","Non-Adopters","Non-Adopters"
"4868","Early Majority","Very Low Thresh."
"4869","Late Majority","High Thresh."
"4870","Late Majority","High Thresh."
"4871","Late Majority","High Thresh."
"4872","Early Majority","High Thresh."
"4873","Laggards","High Thresh."
"4874","Early Majority","Low Thresh."
"4875","Non-Adopters","Non-Adopters"
"4876","Non-Adopters","Non-Adopters"
"4877","Non-Adopters","Non-Adopters"
"4878","Non-Adopters","Non-Adopters"
"4879","Non-Adopters","Non-Adopters"
"4880","Late Majority","Low Thresh."
"4881","Early Majority","Low Thresh."
"4882","Non-Adopters","Non-Adopters"
"4883","Early Adopters","Low Thresh."
"4884","Late Majority","High Thresh."
"4885","Non-Adopters","Non-Adopters"
"4886","Early Majority","Very Low Thresh."
"4887","Late Majority","Very Low Thresh."
"4888","Laggards","High Thresh."
"4889","Early Adopters","High Thresh."
"4890","Non-Adopters","Non-Adopters"
"4891","Early Majority","High Thresh."
"4892","Late Majority","Very Low Thresh."
"4893","Late Majority","High Thresh."
"4894","Non-Adopters","Non-Adopters"
"4895","Non-Adopters","Non-Adopters"
"4896","Early Majority","Low Thresh."
"4897","Late Majority","High Thresh."
"4898","Early Adopters","Very Low Thresh."
"4899","Early Majority","High Thresh."
"4900","Late Majority","High Thresh."
"4901","Early Adopters","Very Low Thresh."
"4902","Laggards","Low Thresh."
"4903","Non-Adopters","Non-Adopters"
"4904","Early Adopters","Low Thresh."
"4905","Late Majority","Very Low Thresh."
"4906","Laggards","High Thresh."
"4907","Early Majority","Very Low Thresh."
"4908","Non-Adopters","Non-Adopters"
"4909","Early Adopters","High Thresh."
"4910","Laggards","Very Low Thresh."
"4911","Non-Adopters","Non-Adopters"
"4912","Late Majority","Very Low Thresh."
"4913","Early Adopters","High Thresh."
"4914","Early Majority","Very Low Thresh."
"4915","Early Majority","Low Thresh."
"4916","Non-Adopters","Non-Adopters"
"4917","Non-Adopters","Non-Adopters"
"4918","Early Adopters","Very Low Thresh."
"4919","Early Majority","Very Low Thresh."
"4920","Early Majority","Low Thresh."
"4921","Non-Adopters","Non-Adopters"
"4922","Early Majority","Very Low Thresh."
"4923","Late Majority","Low Thresh."
"4924","Early Majority","High Thresh."
"4925","Non-Adopters","Non-Adopters"
"4926","Late Majority","Very Low Thresh."
"4927","Early Adopters","High Thresh."
"4928","Late Majority","High Thresh."
"4929","Non-Adopters","Non-Adopters"
"4930","Laggards","Low Thresh."
"4931","Laggards","Low Thresh."
"4932","Early Adopters","High Thresh."
"4933","Late Majority","Very Low Thresh."
"4934","Non-Adopters","Non-Adopters"
"4935","Early Adopters","Very Low Thresh."
"4936","Early Adopters","High Thresh."
"4937","Non-Adopters","Non-Adopters"
"4938","Early Adopters","High Thresh."
"4939","Non-Adopters","Non-Adopters"
"4940","Non-Adopters","Non-Adopters"
"4941","Early Majority","High Thresh."
"4942","Non-Adopters","Non-Adopters"
"4943","Non-Adopters","Non-Adopters"
"4944","Early Majority","High Thresh."
"4945","Early Majority","Low Thresh."
"4946","Early Adopters","High Thresh."
"4947","Early Majority","High Thresh."
"4948","Non-Adopters","Non-Adopters"
"4949","Non-Adopters","Non-Adopters"
"4950","Non-Adopters","Non-Adopters"
"4951","Laggards","High Thresh."
"4952","Early Adopters","High Thresh."
"4953","Non-Adopters","Non-Adopters"
"4954","Non-Adopters","Non-Adopters"
"4955","Early Adopters","Very Low Thresh."
"4956","Early Adopters","Very Low Thresh."
"4957","Late Majority","Very Low Thresh."
"4958","Laggards","High Thresh."
"4959","Early Majority","High Thresh."
"4960","Late Majority","High Thresh."
"4961","Early Majority","Low Thresh."
"4962","Laggards","High Thresh."
"4963","Non-Adopters","Non-Adopters"
"4964","Non-Adopters","Non-Adopters"
"4965","Laggards","High Thresh."
"4966","Late Majority","Very Low Thresh."
"4967","Early Majority","High Thresh."
"4968","Late Majority","High Thresh."
"4969","Non-Adopters","Non-Adopters"
"4970","Early Majority","Very Low Thresh."
"4971","Early Majority","High Thresh."
"4972","Laggards","High Thresh."
"4973","Non-Adopters","Non-Adopters"
"4974","Early Majority","Very Low Thresh."
"4975","Late Majority","High Thresh."
"4976","Non-Adopters","Non-Adopters"
"4977","Early Adopters","Very Low Thresh."
"4978","Early Majority","Very Low Thresh."
"4979","Early Majority","High Thresh."
"4980","Early Adopters","Very Low Thresh."
"4981","Non-Adopters","Non-Adopters"
"4982","Early Adopters","Very Low Thresh."
"4983","Early Majority","Low Thresh."
"4984","Early Adopters","High Thresh."
"4985","Late Majority","High Thresh."
"4986","Early Majority","Very Low Thresh."
"4987","Non-Adopters","Non-Adopters"
"4988","Non-Adopters","Non-Adopters"
"4989","Late Majority","High Thresh."
"4990","Early Majority","High Thresh."
"4991","Non-Adopters","Non-Adopters"
"4992","Late Majority","High Thresh."
"4993","Non-Adopters","Non-Adopters"
"4994","Early Adopters","Low Thresh."
"4995","Non-Adopters","Non-Adopters"
"4996","Late Majority","High Thresh."
"4997","Early Majority","High Thresh."
"4998","Early Majority","High Thresh."
"4999","Non-Adopters","Non-Adopters"
"5000","Late Majority","High Thresh."
"5001","Non-Adopters","Non-Adopters"
"5002","Laggards","Low Thresh."
"5003","Laggards","High Thresh."
"5004","Early Majority","High Thresh."
"5005","Non-Adopters","Non-Adopters"
"5006","Early Adopters","Low Thresh."
"5007","Late Majority","High Thresh."
"5008","Non-Adopters","Non-Adopters"
"5009","Late Majority","High Thresh."
"5010","Early Majority","Very Low Thresh."
"5011","Late Majority","High Thresh."
"5012","Non-Adopters","Non-Adopters"
"5013","Laggards","High Thresh."
"5014","Late Majority","Very Low Thresh."
"5015","Laggards","High Thresh."
"5016","Non-Adopters","Non-Adopters"
"5017","Non-Adopters","Non-Adopters"
"5018","Late Majority","Very Low Thresh."
"5019","Late Majority","Low Thresh."
"5020","Early Majority","High Thresh."
"5021","Laggards","Low Thresh."
"5022","Early Majority","Low Thresh."
"5023","Non-Adopters","Non-Adopters"
"5024","Non-Adopters","Non-Adopters"
"5025","Non-Adopters","Non-Adopters"
"5026","Non-Adopters","Non-Adopters"
"5027","Early Adopters","High Thresh."
"5028","Late Majority","Low Thresh."
"5029","Late Majority","Low Thresh."
"5030","Early Adopters","High Thresh."
"5031","Non-Adopters","Non-Adopters"
"5032","Non-Adopters","Non-Adopters"
"5033","Non-Adopters","Non-Adopters"
"5034","Early Adopters","Very Low Thresh."
"5035","Non-Adopters","Non-Adopters"
"5036","Early Adopters","Very Low Thresh."
"5037","Late Majority","High Thresh."
"5038","Non-Adopters","Non-Adopters"
"5039","Laggards","High Thresh."
"5040","Laggards","Very Low Thresh."
"5041","Non-Adopters","Non-Adopters"
"5042","Late Majority","Low Thresh."
"5043","Non-Adopters","Non-Adopters"
"5044","Non-Adopters","Non-Adopters"
"5045","Laggards","Low Thresh."
"5046","Early Adopters","High Thresh."
"5047","Early Majority","High Thresh."
"5048","Early Adopters","Very Low Thresh."
"5049","Early Adopters","Very Low Thresh."
"5050","Non-Adopters","Non-Adopters"
"5051","Late Majority","Low Thresh."
"5052","Laggards","High Thresh."
"5053","Laggards","Very Low Thresh."
"5054","Late Majority","High Thresh."
"5055","Early Majority","Very Low Thresh."
"5056","Early Majority","High Thresh."
"5057","Early Majority","Low Thresh."
"5058","Non-Adopters","Non-Adopters"
"5059","Non-Adopters","Non-Adopters"
"5060","Laggards","High Thresh."
"5061","Early Adopters","High Thresh."
"5062","Early Adopters","Very Low Thresh."
"5063","Non-Adopters","Non-Adopters"
"5064","Early Majority","Low Thresh."
"5065","Late Majority","High Thresh."
"5066","Laggards","High Thresh."
"5067","Early Adopters","High Thresh."
"5068","Non-Adopters","Non-Adopters"
"5069","Early Adopters","High Thresh."
"5070","Non-Adopters","Non-Adopters"
"5071","Early Majority","High Thresh."
"5072","Late Majority","High Thresh."
"5073","Early Majority","High Thresh."
"5074","Non-Adopters","Non-Adopters"
"5075","Non-Adopters","Non-Adopters"
"5076","Early Adopters","High Thresh."
"5077","Late Majority","Very Low Thresh."
"5078","Non-Adopters","Non-Adopters"
"5079","Late Majority","Very Low Thresh."
"5080","Non-Adopters","Non-Adopters"
"5081","Non-Adopters","Non-Adopters"
"5082","Non-Adopters","Non-Adopters"
"5083","Late Majority","High Thresh."
"5084","Late Majority","Low Thresh."
"5085","Early Adopters","Very Low Thresh."
"5086","Early Majority","High Thresh."
"5087","Late Majority","High Thresh."
"5088","Non-Adopters","Non-Adopters"
"5089","Non-Adopters","Non-Adopters"
"5090","Non-Adopters","Non-Adopters"
"5091","Non-Adopters","Non-Adopters"
"5092","Late Majority","High Thresh."
"5093","Non-Adopters","Non-Adopters"
"5094","Late Majority","High Thresh."
"5095","Early Adopters","Very Low Thresh."
"5096","Early Majority","Low Thresh."
"5097","Non-Adopters","Non-Adopters"
"5098","Non-Adopters","Non-Adopters"
"5099","Laggards","Low Thresh."
"5100","Late Majority","High Thresh."
"5101","Early Majority","High Thresh."
"5102","Laggards","High Thresh."
"5103","Early Adopters","High Thresh."
"5104","Non-Adopters","Non-Adopters"
"5105","Early Majority","Very Low Thresh."
"5106","Late Majority","Very Low Thresh."
"5107","Late Majority","Very Low Thresh."
"5108","Laggards","High Thresh."
"5109","Late Majority","High Thresh."
"5110","Late Majority","Very Low Thresh."
"5111","Non-Adopters","Non-Adopters"
"5112","Early Adopters","Very Low Thresh."
"5113","Non-Adopters","Non-Adopters"
"5114","Non-Adopters","Non-Adopters"
"5115","Non-Adopters","Non-Adopters"
"5116","Early Adopters","High Thresh."
"5117","Late Majority","Very Low Thresh."
"5118","Late Majority","High Thresh."
"5119","Early Majority","Low Thresh."
"5120","Early Majority","High Thresh."
"5121","Early Majority","High Thresh."
"5122","Late Majority","High Thresh."
"5123","Early Majority","High Thresh."
"5124","Laggards","High Thresh."
"5125","Early Majority","High Thresh."
"5126","Early Adopters","Very Low Thresh."
"5127","Non-Adopters","Non-Adopters"
"5128","Non-Adopters","Non-Adopters"
"5129","Late Majority","Low Thresh."
"5130","Non-Adopters","Non-Adopters"
"5131","Non-Adopters","Non-Adopters"
"5132","Non-Adopters","Non-Adopters"
"5133","Early Majority","Very Low Thresh."
"5134","Early Majority","High Thresh."
"5135","Late Majority","Very Low Thresh."
"5136","Early Adopters","Low Thresh."
"5137","Early Adopters","Very Low Thresh."
